FULL_MNGMNT_BU_CD,MBU_rollup,state_lob
KSZZ114XPR01S,Unicare - Unicare,Unicare
KSZZ114XPR01Y,Unicare - Unicare,Unicare
KSZZ115XOF02M,Unicare - Unicare,Unicare
KSZZ115XOF04M,Unicare - Unicare,Unicare
KSZZ115XOF05S,Unicare - Unicare,Unicare
KSZZ115XOF05Y,Unicare - Unicare,Unicare
KSZZ117XOF02M,Unicare - Unicare,Unicare
KSZZ117XOF04M,Unicare - Unicare,Unicare
KSZZ117XOF05S,Unicare - Unicare,Unicare
J2ZZ1UZXPB05N,Unicare - Unicare,Unicare
J2ZZ1UZXPB05S,Unicare - Unicare,Unicare
J2ZZ1UZXPB05Y,Unicare - Unicare,Unicare
J2ZZ1UZXPBN,Unicare - Unicare,Unicare
J2ZZ1UZXPBY,Unicare - Unicare,Unicare
J2ZZ211X,Unicare - Unicare,Unicare
J2ZZ211XOF,Unicare - Unicare,Unicare
J2ZZ211XOF03M,Unicare - Unicare,Unicare
J2ZZ211XOFN,Unicare - Unicare,Unicare
